,0
0,
1,897.7897896289562
2,415.1445080167604
3,1075.8142716043624
4,9279.081588974035
5,5670.73994220246
6,2359.122165348925
7,1535.0992244641338
8,2405.8057571018585
9,2373.1362441635365
10,2371.6208386753146
11,2776.830953791144
12,2229.353749966006
13,3912.8044366334243
14,3351.837768002931
15,4621.788740339156
16,6479.714200406898
17,4699.193149916937
18,5975.336720703234
19,6061.01419668836
20,7274.853536940098
21,6258.431541524753
22,4324.683312535778
23,3250.592243381136
24,4298.532269769729
25,9078.028685887366
26,7354.558981978944
27,1650.0619612634357
28,1355.9216798776883
29,2778.4170575731896
30,2400.125268307387
31,2402.3533130214214
32,1127.5690522281616
33,626.2722537695583
34,2915.708807420718
35,3472.9552848717944
36,1753.4063283103667
37,2224.4930114117547
38,4006.5021038883824
39,5215.69481425618
40,4837.852050852359
41,5925.609001873371
42,4650.410305939582
43,3825.778837968462
44,5583.737071800881
45,9353.834256562286
46,7684.879387933702
47,8831.525906460578
48,9791.581277431496
49,9384.000938096422
50,7448.324517349607
51,6323.256353103522
52,4051.2261537656063
53,6893.297777310777
54,8951.217248084326
55,10402.673056065887
56,6745.955430193396
57,1699.3104139218665
58,730.5567383004706
59,1676.5805211978452
60,2810.8305281448165
61,1480.0048702245472
62,2427.0591479936184
63,2165.584112843816
64,3454.9874921870132
65,2475.086211728685
66,3968.1948542872874
67,3260.811576676817
68,4956.335805537778
69,4844.243117509312
70,6059.8654649596
71,7796.015169109127
72,9986.675074324658
73,12929.839524245352
74,11707.103737452308
75,12813.767518492097
76,13733.043252357895
77,16189.403853672864
78,14769.55174650684
79,15571.368663873795
80,17296.66109471103
81,17570.337267988176
82,19492.820239820423
83,21487.87423842576
84,20954.99942465695
85,23098.114513466775
86,25349.805292285382
